Analysis group,Analysis number,Subgroup,Subgroup number,Experimental cases,Experimental N,Control cases,Control N,Weight,Mean,CI start,CI end,Heterogeneity Tau²,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect P,ID
1,7,End of treatment,1,,,,,,,,,,,,,,,,subgroup:440473180904821972
1,7,Short-term follow-up (6  months),2,,,,,,,,,,,,,,,,subgroup:440473183130948821
1,10,Re-operation,1,23,502,28,505,100.0,0.498822,0.092805,2.681148,1.488051,6.300103,2,0.04285,68.254485,0.810563,0.417616,subgroup:437527475861451336
1,10,Re-dislocation,2,1,68,2,69,100.0,0.726775,0.039998,13.205645,1.932474,1.788725,1,0.181082,44.094272,0.215706,0.829217,subgroup:437527475861713485
1,10,Delayed union,3,0,83,0,84,,,,,,,,,,,,subgroup:437527475861713488
1,10,Non-union,4,0,363,1,365,100.0,0.33452,0.013686,8.17664,0.0,0.0,0,1.0,0.0,0.67148,0.501915,subgroup:437527475861975635
1,10,Malunion,5,1,280,0,281,100.0,3.010676,0.123172,73.589763,0.0,0.0,0,1.0,0.0,0.675836,0.499145,subgroup:443957771270881761
1,10,Loss of fixation,6,4,330,1,333,100.0,4.014286,0.451496,35.691305,0.0,0.0,0,1.0,0.0,1.246689,0.212512,subgroup:437527475861975637
1,10,Ankle metalwork or implant breakage,7,1,280,0,281,100.0,3.010676,0.123172,73.589763,0.0,0.0,0,1.0,0.0,0.675836,0.499145,subgroup:443957734830506447
1,10,Loss of reduction,8,0,133,0,136,,,,,,,,,,,,subgroup:437527475861975639
1,10,DVT,9,4,346,3,341,100.0,1.25359,0.276965,5.67396,0.0,1.37946,2,0.501711,0.0,0.293384,0.769228,subgroup:437527475861975642
1,10,Symptomatic pulmonary embolism,10,1,280,0,281,100.0,3.010676,0.123172,73.589763,0.0,0.0,0,1.0,0.0,0.675836,0.499145,subgroup:443957852616524468
1,10,Vascular injury,11,1,280,0,281,100.0,3.010676,0.123172,73.589763,0.0,0.0,0,1.0,0.0,0.675836,0.499145,subgroup:443957873062970038
1,10,Deep infection,12,0,99,0,101,,,,,,,,,,,,subgroup:437527475862237789
1,10,Surgical site infection,13,15,280,12,281,100.0,1.254464,0.598026,2.631459,0.0,0.0,0,1.0,0.0,0.599788,0.548648,subgroup:443957826815525456
1,10,Low grade infection or superficial infection,14,20,510,10,507,100.0,1.826001,0.887492,3.756968,0.0,2.17902,5,0.823861,0.0,1.635725,0.101897,subgroup:437527475862237792
1,10,Wound dehiscence,15,8,374,6,375,100.0,1.331732,0.466511,3.801645,0.0,0.058185,1,0.809387,0.0,0.535287,0.592452,subgroup:437527475862237798
1,10,Wound healing complications,16,3,53,1,54,100.0,3.056604,0.328272,28.460604,0.0,0.0,0,1.0,0.0,0.981472,0.32636,subgroup:437527475862499944
1,10,Prominent implant or metalwork irritation,17,15,280,13,281,100.0,1.157967,0.561382,2.388547,0.0,0.0,0,1.0,0.0,0.397033,0.691343,subgroup:443957799815741927
1,10,"Swelling, skin irritation and/or blistering",18,1,40,1,38,100.0,0.952576,0.103323,8.782215,0.0,0.859897,1,0.353768,0.0,0.042869,0.965806,subgroup:437527475862499946
1,10,Dystrophy/atrophy,19,0,63,1,59,100.0,0.294574,0.012364,7.018106,0.0,0.0,0,1.0,0.0,0.755513,0.449941,subgroup:437527475862499948
1,10,Complex regional pain syndrome,20,0,280,4,281,100.0,0.111507,0.006032,2.06142,0.0,0.0,0,1.0,0.0,1.473918,0.140504,subgroup:443957753510101467
1,10,Fall,21,0,280,1,281,100.0,0.33452,0.013686,8.17664,0.0,0.0,0,1.0,0.0,0.67148,0.501915,subgroup:443957764750049758
1,10,Re-fracture of the same ankle,22,2,280,1,281,100.0,2.007143,0.183043,22.009102,0.0,0.0,0,1.0,0.0,0.57022,0.568528,subgroup:443957814897672731
1,10,Nerve palsy,23,3,280,4,281,100.0,0.752679,0.170012,3.332269,0.0,0.0,0,1.0,0.0,0.374291,0.708188,subgroup:443957788253356517
2,2,After surgical fracture management,1,,352,,325,100.0,6.387815,1.690259,11.085371,20.51825,13.560793,5,0.018654,63.128999,2.665192,0.007694,subgroup:437280497611870066
2,2,After non-surgical fracture management,2,,206,,193,100.0,1.082795,-3.176181,5.341771,0.0,1.509175,2,0.470205,0.0,0.498298,0.618274,subgroup:437280497611870073
2,3,After surgical fracture management,1,,193,,187,100.0,0.105687,-0.09617,0.307544,0.0,2.987187,5,0.701962,0.0,1.026184,0.304805,subgroup:437280497612132221
2,3,After non-surgical fracture management,2,,82,,86,100.0,0.176208,-0.127936,0.480352,0.0,0.89664,1,0.343684,0.0,1.135521,0.256157,subgroup:437280497612394371
2,5,After surgical fracture management,1,,190,,180,100.0,0.319873,-0.003963,0.643709,0.029782,2.083617,1,0.148887,52.006537,1.935978,0.05287,subgroup:437123136217433038
2,5,After non-surgical fracture management,2,,216,,208,100.0,0.021349,-0.169236,0.211934,0.0,1.331276,2,0.513945,0.0,0.21955,0.826221,subgroup:437123136217433039
2,6,After surgical fracture management,1,,250,,227,100.0,0.304634,0.11201,0.497259,0.002749,2.186962,2,0.335048,8.548935,3.09967,0.001937,subgroup:437280497613180806
2,6,After non-surgical fracture management,2,,204,,193,100.0,-0.04216,-0.239296,0.154976,0.0,1.58849,2,0.451922,0.0,0.419162,0.675098,subgroup:437280497613180810
2,7,After surgical fracture management,1,,91,,87,100.0,2.595863,-5.11626,10.307986,19.594894,2.687745,1,0.101123,62.794085,0.659714,0.509437,subgroup:437280497613442959
2,7,After non-surgical fracture management,2,,66,,71,100.0,-1.0,-11.586719,9.586719,0.0,0.0,0,1.0,0.0,0.185134,0.853124,subgroup:437280497613442962
2,8,End of treatment,1,2,20,17,20,100.0,0.117647,0.031189,0.443767,0.0,0.0,0,1.0,0.0,3.159398,0.001581,subgroup:440376048993811298
2,8,Short-term follow-up ≤ 6 months,2,11,16,12,13,100.0,0.744792,0.516656,1.073664,0.0,0.0,0,1.0,0.0,1.579055,0.114323,subgroup:440376090425670517
2,8,Long-term follow-up > 6 months,3,17,55,29,61,100.0,0.634112,0.351556,1.143766,0.093177,3.037946,2,0.218937,34.166055,1.513627,0.13012,subgroup:440376106312383352
2,10,Short-term follow-up ≤ 6 months,1,,86,,81,100.0,-0.099691,-0.7323,0.532917,0.131206,2.328173,1,0.127051,57.04787,0.308867,0.757423,subgroup:437280497614753685
2,10,Long-term follow-up > 6 months,2,,83,,86,100.0,-0.071933,-0.374087,0.23022,0.0,0.043711,1,0.834393,0.0,0.466607,0.640781,subgroup:437123136218219494
2,11,Unplanned return to theatre,1,32,314,25,310,100.0,1.195041,0.385176,3.707718,0.816052,8.747228,4,0.067738,54.27123,0.308441,0.757747,subgroup:437207572060156110
